PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,Toluene,AQI,year,month,day,weekday,dayofyear,Date,City
142.27,252.49,17.11,33.82,50.91,9.8,2.86,17.18,10.051466043989308,325.0,2018.0,3.0,13.0,1.0,72.0,2018-03-13,Brajrajnagar
75.61,121.94,2.95,27.03,16.78,15.92,1.12,8.24,7.53,128.0,2019.0,12.0,17.0,1.0,351.0,2019-12-17,Visakhapatnam
15.01,27.65,3.25,7.99,9.71,6.01,0.48,5.8,2.7227628157839945,46.0,2020.0,4.0,20.0,0.0,111.0,2020-04-20,Thiruvananthapuram
51.383514415534165,110.7192130052324,13.414774120760894,24.70761608162593,27.95534291835611,18.924246212329535,0.994468718856316,12.273933830250598,6.319509991429413,133.6495172460236,2020.0,3.0,15.0,6.0,75.0,2020-03-15,Talcher
16.66,45.85954291113535,7.44,28.0,23.79,28.83,0.82,5.03,0.21,69.0,2018.0,9.0,2.0,6.0,245.0,2018-09-02,Lucknow
48.48,100.3,6.99,26.49,28.07,13.1,0.8,6.28,2.36,116.0,2018.0,10.0,14.0,6.0,287.0,2018-10-14,Bengaluru
53.34,137.69,30.58,29.87,51.29,20.66,1.06,9.04,3.15,133.0,2018.0,9.0,27.0,3.0,270.0,2018-09-27,Jaipur
89.55273113972667,184.04144754000436,27.79943445291933,76.42499999999998,64.56918045035309,24.6,1.4293472370242124,11.58,12.850799545266,232.41937682717798,2018.0,10.0,8.0,0.0,281.0,2018-10-08,Talcher
10.36,44.69,12.66,20.48,27.66,15.687779938491076,1.19,10.93,5.00696110060926,65.0,2018.0,8.0,4.0,5.0,216.0,2018-08-04,Mumbai
58.43268771508881,116.45992044687682,12.311100114954687,22.07572831968264,24.33,24.21859358045208,0.0,8.22434242887482,0.0,125.71943815260693,2016.0,3.0,28.0,0.0,88.0,2016-03-28,Mumbai
76.91,159.78500406628905,9.77,12.11,14.27,2.19,1.68,4.1,9.37,216.0,2016.0,1.0,31.0,6.0,31.0,2016-01-31,Chennai
54.15,102.76577051716185,5.06,12.57,9.45,62.17999999999999,0.65,4.31,4.08,122.0,2016.0,4.0,15.0,4.0,106.0,2016-04-15,Chennai
23.98,53.84902442040743,6.12,21.17,16.06,9.37,1.0,3.62,0.8,64.0,2019.0,8.0,18.0,6.0,230.0,2019-08-18,Lucknow
37.24,72.98260363859617,5.65,13.77,19.28,3.69,1.01,5.05,0.17,80.0,2019.0,5.0,4.0,5.0,124.0,2019-05-04,Chennai
