PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,Toluene,AQI,year,month,day,weekday,dayofyear,Date,City
142.27,252.49,17.11,33.82,50.91,9.8,2.86,17.18,12.134088167450955,325.0,2018.0,3.0,13.0,1.0,72.0,2018-03-13,Brajrajnagar
75.61,121.94,2.95,27.03,16.78,15.92,1.12,8.24,7.53,128.0,2019.0,12.0,17.0,1.0,351.0,2019-12-17,Visakhapatnam
15.01,27.65,3.25,7.99,9.71,6.01,0.48,5.8,3.0315099595986794,46.0,2020.0,4.0,20.0,0.0,111.0,2020-04-20,Thiruvananthapuram
51.44447358904108,142.31126864038998,22.749113525620018,12.857404512563335,29.965209700752666,10.478797829258099,1.6697618287088005,23.74092945422842,1.5058679327348727,159.22249821877494,2020.0,3.0,15.0,6.0,75.0,2020-03-15,Talcher
16.66,38.682936553977584,7.44,28.0,23.79,28.83,0.82,5.03,0.21,69.0,2018.0,9.0,2.0,6.0,245.0,2018-09-02,Lucknow
48.48,100.3,6.99,26.49,28.07,13.1,0.8,6.28,2.36,116.0,2018.0,10.0,14.0,6.0,287.0,2018-10-14,Bengaluru
53.34,137.69,30.58,29.87,51.29,20.66,1.06,9.04,3.15,133.0,2018.0,9.0,27.0,3.0,270.0,2018-09-27,Jaipur
101.11078098008102,228.59037609254563,45.06225212643307,76.42499999999998,86.26129718904781,24.6,2.096300110322801,11.58,2.5485474016977605,270.4672803780953,2018.0,10.0,8.0,0.0,281.0,2018-10-08,Talcher
10.36,44.69,12.66,20.48,27.66,10.90149836685464,1.19,10.93,4.7612140375654235,65.0,2018.0,8.0,4.0,5.0,216.0,2018-08-04,Mumbai
18.981281288167338,64.51884710230019,15.091837432381219,9.6130561265486,24.33,10.598963548009237,0.0,11.419487543184005,0.0,43.57231449364417,2016.0,3.0,28.0,0.0,88.0,2016-03-28,Mumbai
76.91,156.30104212397413,9.77,12.11,14.27,2.19,1.68,4.1,9.37,216.0,2016.0,1.0,31.0,6.0,31.0,2016-01-31,Chennai
54.15,92.25885941163403,5.06,12.57,9.45,62.17999999999999,0.65,4.31,4.08,122.0,2016.0,4.0,15.0,4.0,106.0,2016-04-15,Chennai
23.98,48.165011252236695,6.12,21.17,16.06,9.37,1.0,3.62,0.8,64.0,2019.0,8.0,18.0,6.0,230.0,2019-08-18,Lucknow
37.24,68.94377459047496,5.65,13.77,19.28,3.69,1.01,5.05,0.17,80.0,2019.0,5.0,4.0,5.0,124.0,2019-05-04,Chennai
112.93,188.16,20.27,5.97,20.82,1.91,1.67,25.91,1.3722678022631953,229.90353553787963,2020.0,2.0,10.0,0.0,41.0,2020-02-10,Talcher
72.14,168.79,31.63,46.68,75.13,19.18,1.12,7.48,8.768302347789358,154.0,2020.0,2.0,1.0,5.0,32.0,2020-02-01,Mumbai
71.8,117.17,4.18,30.64,19.09,11.53,1.18,29.545,6.53,139.0,2016.0,12.0,15.0,3.0,350.0,2016-12-15,Visakhapatnam
34.28,71.46391029741733,3.48,11.8,7.95,39.90554790449016,0.0,3.71,0.02,89.0,2017.0,4.0,9.0,6.0,99.0,2017-04-09,Chennai
60.430123656752585,120.03350668382541,16.844603562421817,41.80836588481196,38.75453363551469,22.612352943236885,2.6404270910835237,24.163345116286223,13.508319319973907,301.4665877273253,2017.0,4.0,24.0,0.0,114.0,2017-04-24,Ahmedabad
15.49,35.9,3.1,10.12,7.91,4.25,0.8,5.16,2.29930557695252,52.0,2018.0,6.0,30.0,5.0,181.0,2018-06-30,Thiruvananthapuram
90.87348937630077,170.19874648976543,21.598394602126646,31.08939701255707,36.099038406633554,15.812239290339193,1.496847068109446,16.51850539996576,6.152940415855937,219.71540340275794,2017.0,4.0,19.0,2.0,109.0,2017-04-19,Patna
36.16,98.68,4.14,34.65,21.2,11.81,0.65,4.87,14.14,102.0,2019.0,4.0,25.0,3.0,115.0,2019-04-25,Hyderabad
30.37,59.51,14.76,30.16,28.0,11.43,1.12,9.47,5.7342634473538965,75.0,2020.0,1.0,7.0,1.0,7.0,2020-01-07,Thiruvananthapuram
54.27,95.76,8.16,18.51,6.8,16.75,0.0,16.03,0.82,88.0,2017.0,12.0,15.0,4.0,349.0,2017-12-15,Jaipur
42.85,69.29,41.43,1.94,59.25,10.41,1.53,3.65,3.4,94.0,2020.0,2.0,25.0,1.0,56.0,2020-02-25,Ernakulam
55.31,97.46,6.29,36.85,34.52,15.25,1.28,7.62,1.14,101.0,2020.0,2.0,19.0,2.0,50.0,2020-02-19,Bengaluru
77.71,151.64,5.23,76.42499999999998,81.08874999999999,14.02,1.25,3.27,8.03,144.0,2018.0,1.0,17.0,2.0,17.0,2018-01-17,Amritsar
36.18,72.40527199363214,10.39,15.55,27.86,1.35,1.0,6.42,3.66,79.0,2019.0,4.0,13.0,5.0,103.0,2019-04-13,Chennai
88.69,196.58043546663123,26.91,70.9,31.3,29.47701462624454,2.86,29.545,21.975,398.5,2018.0,10.0,30.0,1.0,303.0,2018-10-30,Ahmedabad
41.23,104.04,10.84,40.65,30.44,8.51,1.01,2.47,12.87,100.0,2018.0,9.0,18.0,1.0,261.0,2018-09-18,Visakhapatnam
22.61,48.2,23.03,17.01,33.2,14.86,0.73,7.65,1.75,61.0,2020.0,4.0,16.0,3.0,107.0,2020-04-16,Amritsar
21.4,45.02,0.9,3.18,2.18,2.09,0.95,9.01,5.821943374673083,65.0,2019.0,11.0,7.0,3.0,311.0,2019-11-07,Thiruvananthapuram
70.43,99.08,1.76,16.42,10.13,5.49,1.18,6.18,3.371590051962812,112.0,2018.0,1.0,29.0,0.0,29.0,2018-01-29,Thiruvananthapuram
23.37,53.69,7.97,17.37,17.98,62.17999999999999,2.22,6.39,4.159119935692615,106.0,2019.0,5.0,1.0,2.0,121.0,2019-05-01,Brajrajnagar
25.24,66.21,4.14,33.9,21.17,14.74,0.56,5.19,4.83,83.0,2018.0,4.0,13.0,4.0,103.0,2018-04-13,Hyderabad
22.03,33.8523158942013,10.28,13.35,23.22,62.17999999999999,1.03,13.48,2.38,70.0,2018.0,11.0,19.0,0.0,323.0,2018-11-19,Chennai
114.03,217.06,6.17,28.53,24.31,28.824603533789855,2.26,3.07,5.97,289.0,2019.0,10.0,17.0,3.0,290.0,2019-10-17,Gurugram
43.52,118.3,11.25,44.05,32.35,14.75,0.77,10.51,7.6,108.0,2018.0,4.0,19.0,3.0,109.0,2018-04-19,Hyderabad
18.93127739626516,67.63580445945195,20.47913401096882,16.79870209683054,37.83376445450381,11.82435815554993,0.0,11.526888916095686,0.0,49.383924293097834,2017.0,4.0,6.0,3.0,96.0,2017-04-06,Mumbai
67.83,108.72954498045232,8.69,14.05,11.8,62.17999999999999,0.8,9.71,0.28,150.0,2018.0,2.0,19.0,0.0,50.0,2018-02-19,Chennai
31.51338009250503,57.64959608649548,11.513118448277098,29.320256531200585,27.98154436320874,21.08244788826096,2.072525097236678,19.388490665631025,0.0,234.1484757524604,2017.0,3.0,6.0,0.0,65.0,2017-03-06,Ahmedabad
101.59,165.89,33.46,21.83,31.03,38.440935217737746,0.99,10.81,6.13,270.0,2019.0,11.0,13.0,2.0,317.0,2019-11-13,Chandigarh
9.228749912811963,34.46456226854832,-0.5803192240457307,15.895035695065985,0.0,5.531423117160216,0.0,8.321595879305164,0.0,25.112438028731958,2017.0,7.0,30.0,6.0,211.0,2017-07-30,Visakhapatnam
83.08,142.94193217459969,4.23,29.17,22.65,7.23,1.14,11.81,3.45,149.0,2019.0,3.0,17.0,6.0,76.0,2019-03-17,Lucknow
158.245,281.66553336677475,19.85,48.82,42.21,52.21,1.62,9.82,3.11,393.0,2018.0,1.0,11.0,3.0,11.0,2018-01-11,Lucknow
125.76,267.76,35.02,76.42499999999998,70.25,10.11,1.29,20.76,9.65,307.0,2019.0,1.0,20.0,6.0,20.0,2019-01-20,Visakhapatnam
149.67,238.17,30.62,47.55,54.41,40.72,1.16,14.39,18.69,315.0,2020.0,2.0,8.0,5.0,39.0,2020-02-08,Delhi
21.7,52.5,4.65,15.48,16.43,5.64,0.62,6.99,2.57,58.0,2020.0,6.0,9.0,1.0,161.0,2020-06-09,Bengaluru
27.98,57.67,3.71,25.23,28.93,21.12,0.5,2.04,6.0,74.0,2019.0,4.0,1.0,0.0,91.0,2019-04-01,Kolkata
77.6362340889973,174.9498953356803,25.4067189322003,14.81338179995464,33.68027652158321,14.703702832106046,1.9308328212115669,23.11510906312435,-0.2772076951314375,210.4505746803694,2018.0,2.0,1.0,3.0,32.0,2018-02-01,Talcher
39.22,79.24,0.9,4.18,2.96,2.57,0.82,1.44,3.289337693619018,79.0,2019.0,4.0,1.0,0.0,91.0,2019-04-01,Thiruvananthapuram
57.11830227366272,126.94803868025451,8.221457755380804,5.138169602114203,9.547324211734121,4.6038726085459984,0.6235269817629217,20.51784548084254,5.4939079474511345,135.05905399572043,2018.0,5.0,31.0,3.0,151.0,2018-05-31,Jorapokhar
40.97,72.23,39.32,13.29,57.08,26.07,1.13,3.53,2.01,80.0,2020.0,2.0,3.0,0.0,34.0,2020-02-03,Ernakulam
13.71,27.82,0.89,4.12,7.48,1.04,0.82,2.75,3.597765938050543,58.0,2019.0,9.0,7.0,5.0,250.0,2019-09-07,Thiruvananthapuram
46.96,86.05004244820248,10.18,14.46,12.92,41.4459333502827,0.03,4.9,0.0,99.0,2017.0,7.0,16.0,6.0,197.0,2017-07-16,Chennai
41.22,48.55,7.44,19.57,20.43,16.98,0.99,10.2,0.47,91.0,2019.0,6.0,19.0,2.0,170.0,2019-06-19,Chennai
71.33193103177746,142.37249890151782,11.369479373753997,8.42398805922204,14.067121960442137,7.333943764082676,0.7623791179233308,20.057842565608894,5.809841053688615,163.79225685118615,2017.0,10.0,3.0,1.0,276.0,2017-10-03,Jorapokhar
100.78,212.10615925595812,15.76,30.89,36.93,31.397201518360845,1.45,6.84,4.360898708406239,285.0,2018.0,1.0,20.0,5.0,20.0,2018-01-20,Gurugram
54.63,103.16,4.8,38.84,23.63,10.34,0.52,8.73,16.75,95.0,2018.0,11.0,7.0,2.0,311.0,2018-11-07,Hyderabad
67.63,152.46,21.36,36.61,53.44,29.89,1.14,17.04,7.91,123.0,2016.0,3.0,16.0,2.0,76.0,2016-03-16,Delhi
107.26,201.08,21.52,33.82,42.98,27.92,2.86,11.82,11.03,340.0,2015.0,3.0,25.0,2.0,84.0,2015-03-25,Delhi
146.7,269.95,41.43,76.42499999999998,81.08874999999999,35.36,2.15,15.48,21.975,286.0,2020.0,1.0,14.0,1.0,14.0,2020-01-14,Kolkata
75.55,150.46,4.44,44.72,27.09,22.12,0.74,13.59,21.975,152.0,2019.0,1.0,16.0,2.0,16.0,2019-01-16,Hyderabad
24.29,59.49,3.02,13.18,13.74,8.84,0.77,6.93,1.48,78.0,2020.0,5.0,10.0,6.0,131.0,2020-05-10,Bengaluru
49.62518443341287,104.84810220864142,10.52,26.52,20.81,12.44,0.57,1.64,2.44,108.09526946461551,2015.0,2.0,11.0,2.0,42.0,2015-02-11,Bengaluru
119.16,208.7491096981488,9.45,49.47,4.22,33.233375165704274,1.36,6.84,0.37,254.0,2016.0,4.0,11.0,0.0,102.0,2016-04-11,Lucknow
14.99,91.63426055401226,5.5,12.44,10.43,31.7,2.86,2.19,21.975,175.0,2015.0,9.0,14.0,0.0,257.0,2015-09-14,Bengaluru
44.91,80.85,9.8,14.58,20.74,47.94,0.54,5.87,1.68,57.0,2019.0,11.0,16.0,5.0,320.0,2019-11-16,Chennai
60.41,112.53,32.1,38.15,70.0,14.92,0.81,3.2,2.74,124.0,2018.0,11.0,9.0,4.0,313.0,2018-11-09,Amritsar
119.91,199.31332674395935,32.38,5.79,38.18,16.76885712127512,1.47,10.54,0.77,285.0,2016.0,4.0,16.0,5.0,107.0,2016-04-16,Patna
44.18,81.77,7.49,20.98,28.47,11.54,0.48,4.01,13.75,91.0,2019.0,7.0,18.0,3.0,199.0,2019-07-18,Kolkata
33.64089660503805,55.534172831405954,4.5319342413858195,9.436456711355106,9.02890274149172,5.901234726595362,1.0336155184452025,4.758590612954663,2.8995844238002064,87.56865478669852,2017.0,12.0,6.0,2.0,340.0,2017-12-06,Thiruvananthapuram
33.68,69.32746393853142,3.37,26.0,19.656981307715114,25.565529197589797,2.7,4.52,2.74,96.0,2017.0,9.0,4.0,0.0,247.0,2017-09-04,Gurugram
41.5,96.27095188690862,1.48,31.37,11.26229825339874,26.83427316133941,0.0,7.35,0.0,76.0,2017.0,8.0,6.0,6.0,218.0,2017-08-06,Gurugram
32.72,80.35,4.68,21.05,20.81,30.1,0.79,9.5,1.15,97.0,2020.0,6.0,15.0,0.0,167.0,2020-06-15,Jaipur
107.69,289.98,41.43,61.17,50.77,43.01,0.64,29.545,17.79,304.0,2017.0,4.0,12.0,2.0,102.0,2017-04-12,Delhi
76.91,143.75,6.01,36.9,35.2,32.89,0.83,10.81,8.37,188.0,2019.0,11.0,10.0,6.0,314.0,2019-11-10,Jaipur
28.22,153.3,5.8,21.5,21.78,27.79,2.09,2.69,4.5,61.0,2015.0,11.0,13.0,4.0,317.0,2015-11-13,Bengaluru
20.8,53.42,15.49,6.96,21.92,5.42,0.33,15.2,4.326541496261143,68.0,2020.0,4.0,30.0,3.0,121.0,2020-04-30,Mumbai
85.04,182.6303618166039,9.57,33.07,24.01,9.94,1.12,7.45,21.975,183.0,2019.0,5.0,8.0,2.0,128.0,2019-05-08,Lucknow
135.89,210.83,31.14,39.22,69.02,26.91,2.07,11.24,1.99,261.0,2020.0,1.0,17.0,4.0,17.0,2020-01-17,Patna
26.9,65.04,6.83,26.29,28.93,14.38,0.95,5.81,1.65,86.0,2020.0,1.0,18.0,5.0,18.0,2020-01-18,Bengaluru
82.72198713230637,137.1993515733356,8.72,11.4,12.7,62.17999999999999,0.9,6.31,8.04,174.59732014862436,2015.0,2.0,22.0,6.0,53.0,2015-02-22,Chennai
22.44,65.46100585968315,25.51,21.59,4.86,28.03,0.0,11.920955757390175,0.0,39.0,2017.0,7.0,13.0,3.0,194.0,2017-07-13,Delhi
21.33,58.71,0.9,4.75,3.16,3.1,0.62,1.49,1.8617307580038869,80.0,2019.0,3.0,5.0,1.0,64.0,2019-03-05,Thiruvananthapuram
52.43,80.15212084288589,5.71,8.46,4.3,21.674632372969427,1.34,8.18,0.18,107.0,2015.0,9.0,3.0,3.0,246.0,2015-09-03,Lucknow
33.78,100.73,17.69,11.47,27.21,12.03,0.68,23.06,2.03,96.0,2020.0,3.0,21.0,5.0,81.0,2020-03-21,Amritsar
50.42,282.23,31.2,34.74,69.03,19.05,2.86,10.61,5.54,329.0,2016.0,9.0,6.0,1.0,250.0,2016-09-06,Delhi
55.39,66.71,0.63,42.62,43.26,16.050198159138972,0.8,14.15,0.0,120.0,2020.0,2.0,15.0,5.0,46.0,2020-02-15,Coimbatore
